timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-264,27,883,28,27,-6
20,-257,10,864,-7,-4,1
40,-263,16,868,-14,-15,1
60,-256,10,865,-10,-11,1
80,-256,12,867,21,17,-1
100,-266,22,872,4,6,2
120,-264,19,873,-15,-13,0
140,-257,11,866,-31,-26,2
160,-256,11,867,13,15,-3
180,-262,15,870,29,25,-2
200,-265,20,873,-11,-11,1
220,-257,15,868,-27,-22,-2
240,-252,7,863,-5,-5,1
260,-258,16,866,25,26,-1
280,-263,18,872,5,4,0
300,-258,14,868,-29,-28,2
320,-255,11,864,-8,-10,-2
340,-257,11,866,7,10,-2
360,-262,18,870,10,5,0
380,-262,16,872,-19,-20,1
400,-252,11,865,-8,-7,-2
420,-256,14,865,18,18,1
440,-264,17,870,7,6,-1
460,-259,19,871,-22,-18,2
480,-255,8,865,-17,-18,0
500,-255,8,865,17,18,-2
520,-261,13,869,13,14,-2
540,-261,17,871,-13,-14,2
560,-258,11,866,-9,-11,1
580,-257,14,869,11,8,-1
600,-260,13,870,5,5,-1
620,-258,14,865,-9,-10,1
640,-255,13,869,-2,-5,0
660,-258,13,865,7,10,-1
680,-261,17,868,0,-2,1
700,-258,11,869,-14,-12,-1
720,-255,10,865,-3,-2,0
740,-258,12,869,16,12,0
760,-260,18,868,7,6,-1
780,-263,18,869,-18,-14,2
800,-254,8,865,-22,-21,0
820,-254,7,865,9,9,0
840,-259,14,870,26,25,1
860,-264,19,871,-6,-4,0
880,-260,12,867,-26,-24,0
900,-253,9,864,-7,-6,2
920,-255,11,865,24,23,-1
940,-263,16,871,5,5,1
960,-260,15,872,-19,-19,2
980,-255,9,868,-9,-6,0
1000,-257,11,866,18,18,1
1020,-260,18,870,5,6,0
1040,-261,16,870,-13,-13,1
1060,-257,11,868,-12,-6,0
1080,-255,9,864,12,11,-2
1100,-261,14,868,7,7,-1
1120,-259,16,869,-9,-7,0
1140,-258,12,868,-8,-12,1
1160,-256,13,866,8,11,1
1180,-258,14,870,4,7,2
1200,-261,15,870,-6,-7,2
1220,-257,12,866,-3,-4,0
1240,-256,14,865,10,9,0
1260,-261,15,869,2,5,-2
1280,-259,16,870,-11,-11,2
1300,-257,13,868,-13,-12,-1
1320,-254,11,863,8,9,-1
1340,-258,13,870,9,9,0
1360,-261,14,867,-6,-5,0
1380,-258,16,868,-8,-8,0
1400,-257,12,865,3,2,0
1420,-258,11,868,2,3,0
1440,-258,13,869,-3,-5,-1
1460,-257,13,865,-5,-4,0
1480,-257,13,868,6,8,0
1500,-259,15,869,3,7,-1
1520,-258,13,868,-11,-10,1
1540,-254,8,863,-11,-13,1
1560,-258,13,868,15,11,-1
1580,-260,16,869,12,14,0
1600,-258,13,871,-14,-15,2
1620,-255,10,866,-20,-17,2
1640,-258,9,864,10,11,0
1660,-262,17,870,17,15,-2
1680,-259,14,871,-11,-4,1
1700,-257,9,864,-20,-16,1
1720,-256,10,865,6,2,0
1740,-261,16,869,23,19,-2
1760,-263,16,867,-4,-5,1
1780,-256,13,867,-17,-16,1
1800,-256,10,866,0,-2,0
1820,-257,14,867,12,14,-1
1840,-260,12,869,-2,1,1
1860,-258,11,866,-7,-4,0
1880,-256,11,870,4,3,0
1900,-258,13,869,7,7,-2
1920,-258,12,868,-11,-9,-1
1940,-255,10,867,-3,-5,2
1960,-257,16,866,13,14,-1
1980,-261,14,871,4,2,-1
2000,-257,8,868,-20,-20,3
2020,-254,6,865,-7,-7,0
2040,-257,11,870,19,20,-1
2060,-263,16,871,13,11,0
2080,-256,14,871,-22,-23,3
2100,-254,10,866,-12,-10,2
2120,-255,9,864,9,15,1
2140,-263,18,871,19,18,-3
2160,-261,14,868,-9,-11,1
2180,-256,10,866,-17,-14,2
2200,-255,6,866,2,2,-1
2220,-258,13,871,12,15,-1
2240,-259,12,869,-2,-1,1
2260,-256,12,863,-12,-12,0
2280,-255,13,869,7,9,0
2300,-261,14,872,10,7,0
2320,-259,11,866,-13,-10,0
2340,-254,8,866,-13,-13,0
2360,-255,15,864,20,18,-1
