timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-676,984,250,-13135,-531,-1610
20,-357,1011,340,-11053,-1801,3136
40,-402,743,318,-7109,-7359,6485
60,-448,133,0,-1424,-12521,6808
80,-742,-259,-158,5142,-15545,7836
100,-2344,-1247,-163,11918,-19550,9777
120,-3667,-1454,462,18685,-15208,10115
140,-3922,-1879,1397,22433,-8818,12348
160,-3926,-959,1929,21720,-2159,14801
180,-3926,-807,2071,17048,646,17689
200,-3926,-1007,2028,10376,882,18555
220,-3926,-1135,1765,4807,-596,18624
240,-3921,-1256,959,2094,-2421,17348
260,-3082,-1308,359,2103,-2971,14302
280,-1648,-1345,-322,3645,-1403,10012
300,-703,-1347,-465,4487,620,4067
320,-324,-1297,-389,3282,1003,-3349
340,-749,-186,389,626,462,-11083
360,-551,-181,-548,-5637,-2848,-13753
380,-1814,122,304,-7198,-1056,-18927
400,-3187,400,701,-8428,-4981,-22944
420,-3078,-448,965,-7620,-2293,-18934
440,-3511,-655,572,-5394,-1785,-12585
460,-3925,-396,1125,-5110,-1731,-22229
480,-3926,-683,1196,-2048,-2269,-20139
500,-3926,-574,1451,-1248,-3993,-19627
520,-3926,-178,1113,-2253,-5094,-17358
540,-3457,79,896,-5185,-5098,-14621
560,-2514,434,623,-8548,-4322,-11716
580,-1758,721,309,-11057,-3904,-8599
600,-820,1052,0,-11800,-3473,-4695
620,-470,1164,-22,-10754,-3987,-467
640,-204,989,-86,-7831,-5913,3338
660,-280,699,-5,-2693,-7994,5864
680,-90,269,-245,4093,-10601,7122
700,-700,-202,-215,10765,-11706,10069
720,-1889,-825,-73,17119,-13356,13510
740,-3926,-980,929,22073,-5342,15215
760,-3926,-711,1646,20946,551,15270
780,-3926,-593,2081,16159,3639,17304
800,-3926,-893,2080,9651,2716,18796
820,-3926,-1301,2043,4373,868,19742
840,-3926,-1403,1657,2094,-993,19828
860,-3926,-1413,794,2508,-1799,17468
880,-2524,-1362,14,4546,-877,13581
900,-1571,-1330,-296,6558,1062,8498
920,815,-2777,-331,4938,1566,440
940,4,-829,-706,-737,182,-9694
960,-757,-780,-88,-1266,69,-12094
980,-966,-286,253,-2919,-1025,-15180
1000,-1240,-18,88,-4597,-2288,-17338
1020,-1817,85,216,-4925,-1999,-19265
1040,-3065,46,615,-4441,-1498,-20964
1060,-3924,-271,1275,-3815,-2672,-22342
1080,-3926,-678,1607,-3261,-4514,-22495
1100,-3926,-674,1587,-2774,-5647,-20144
1120,-3926,-264,1206,-3957,-6504,-17921
1140,-3352,143,819,-6257,-6072,-14497
1160,-2585,418,525,-8673,-5356,-11567
1180,-1330,842,88,-9760,-4265,-8384
1200,-725,1074,-38,-9080,-3940,-4274
1220,-130,1279,-83,-6880,-5347,-373
1240,135,1338,102,-3237,-7526,1639
1260,369,993,-146,2314,-12580,1850
1280,196,300,-694,9306,-15739,2229
1300,-1362,-579,-555,16939,-20234,4886
1320,-3926,-2781,-182,25748,-18885,7677
1340,-3919,-1092,1420,28411,-6918,3828
1360,-3380,147,759,27475,343,7691
1380,-3773,-237,1238,21705,1405,11312
1400,-3346,-466,1299,13917,3455,10944
1420,-3058,-715,1094,6871,2665,10720
1440,-2323,-920,497,2341,1900,9283
