timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1144,-359,229,-484,-95,464
20,-1140,-318,275,-175,51,423
40,-1173,-269,379,-232,152,417
60,-1147,-271,337,-742,-94,657
80,-1198,-308,298,-985,-247,850
100,-1258,-273,341,-894,-251,642
120,-1240,-170,344,-936,-378,317
140,-1206,-121,331,-1026,-442,463
160,-1375,-157,369,-916,-481,941
180,-1450,-57,449,-817,-528,686
200,-1383,59,490,-1016,-535,329
220,-1382,147,613,-1443,-345,682
240,-1498,110,668,-1824,-704,1695
260,-1531,-52,385,-1548,-1990,2676
280,-1375,-92,221,-29,-2289,3057
300,-1235,-156,266,1794,-1505,3593
320,-1289,-260,399,2504,-694,4261
340,-1233,-416,394,2057,-610,4424
360,-1025,-486,319,1258,-494,3958
380,-930,-534,308,555,-184,3441
400,-918,-645,261,244,-43,2927
420,-952,-633,284,437,91,1718
440,-932,-375,359,625,-4,64
460,-910,-240,279,406,-498,-849
480,-931,-166,105,460,-674,-946
500,-950,-125,101,991,-137,-870
520,-992,-75,297,1214,658,-764
540,-966,-191,313,782,722,-483
560,-1033,-300,336,600,621,-413
580,-1041,-326,344,748,406,-963
600,-1001,-297,353,815,369,-1573
620,-1049,-327,375,678,489,-1930
640,-1095,-348,420,639,486,-2038
660,-1197,-350,399,612,263,-2391
680,-1246,-348,327,858,-27,-2735
700,-1258,-352,263,1426,-51,-2823
720,-1291,-382,288,1773,58,-2799
740,-1330,-473,265,1700,-16,-2781
760,-1362,-556,251,1544,-34,-2826
780,-1419,-559,367,1281,235,-3092
800,-1430,-518,453,482,150,-3362
820,-1396,-540,360,-365,-197,-3323
840,-1368,-655,302,-302,-115,-3070
860,-1320,-711,361,307,219,-2815
880,-1443,-809,510,511,209,-2758
900,-1436,-825,446,240,-495,-3282
920,-1249,-706,439,-14,-599,-3824
940,-1386,-816,611,-427,-165,-3271
960,-1480,-906,445,-776,-809,-3072
980,-1342,-654,304,-215,-1345,-4244
1000,-1099,-468,298,326,-980,-4341
1020,-974,-564,537,2,-141,-2794
1040,-1240,-787,663,-1089,-61,-1395
1060,-1136,-836,293,-1753,-1451,-2260
1080,-997,-669,285,-843,-876,-2855
1100,-935,-642,394,-731,-500,-1940
1120,-1004,-759,477,-1164,-649,-1635
1140,-1037,-756,380,-1492,-1244,-2157
1160,-888,-580,246,-1450,-1198,-2326
1180,-823,-566,214,-975,-735,-1070
1200,-781,-717,261,-662,-23,-308
1220,-827,-769,423,-995,143,-211
1240,-878,-806,448,-1492,-595,-626
1260,-768,-780,301,-1311,-1104,-715
1280,-625,-832,162,-306,-905,-124
1300,-630,-875,188,375,-868,-57
1320,-597,-893,170,602,-959,-417
1340,-660,-788,129,537,-1358,-1144
1360,-719,-648,48,433,-1632,-1481
1380,-782,-402,-220,427,-1974,-1848
1400,-857,-227,-282,803,-1488,-1734
1420,-891,-92,-222,948,-530,-1372
1440,-910,39,-71,421,461,-483
1460,-991,-3,20,-535,1192,1140
1480,-1193,-253,74,-1020,1489,2854
1500,-1221,-345,153,-754,1806,3525
1520,-1275,-442,308,-433,1990,3757
1540,-1277,-546,321,-17,2028,4411
1560,-1477,-742,523,738,2241,5131
1580,-1526,-799,637,986,1520,4785
1600,-1320,-856,407,690,475,4160
1620,-1493,-996,458,1335,1056,4779
1640,-1708,-1039,712,1916,1624,5026
1660,-1805,-969,698,1247,276,3903
1680,-1761,-788,592,160,-767,2699
1700,-1772,-564,593,-887,-623,3120
1720,-1923,-533,661,-1868,-549,4899
1740,-2057,-752,507,-2300,-1218,6725
1760,-2111,-927,445,-1412,-1407,7584
1780,-1960,-1017,523,-60,-1059,7461
1800,-1982,-1165,571,571,-1251,7442
1820,-1739,-1197,301,798,-2138,6411
1840,-1364,-826,312,1021,-1476,4178
1860,-1218,-560,398,-95,-912,2693
1880,-1198,-426,254,-1761,-1218,2568
1900,-1289,-396,136,-2347,-1437,1935
1920,-1184,-57,322,-2147,-451,162
1940,-1065,188,488,-2423,-12,-131
1960,-1053,255,401,-2948,-970,1065
1980,-1041,147,162,-2281,-1878,2006
2000,-972,84,196,-437,-1105,2212
2020,-861,-44,270,1114,-479,2641
2040,-906,-193,292,2067,-366,2873
2060,-877,-344,208,2465,-590,2175
2080,-795,-372,152,2516,-463,1191
2100,-711,-425,166,2227,20,626
2120,-809,-515,252,1623,498,179
2140,-1031,-622,261,1029,122,-1077
2160,-1118,-565,111,946,-778,-2941
2180,-1091,-387,-106,1431,-911,-4144
2200,-1344,-367,-23,1937,27,-4110
2220,-1552,-365,127,1674,817,-4337
2240,-1552,-232,307,513,1062,-4868
2260,-1467,-212,316,-1061,1138,-4554
2280,-1555,-453,319,-1967,1575,-3622
2300,-1849,-674,348,-1487,1715,-3588
2320,-1994,-561,426,-91,1383,-5201
2340,-1907,-336,470,611,910,-6195
2360,-1740,-221,414,226,558,-5431
2380,-1874,-479,416,-514,832,-3956
2400,-1942,-596,364,-993,915,-3719
2420,-1667,-397,514,-1105,1398,-4421
2440,-1496,-381,603,-1734,1717,-3518
2460,-1483,-679,570,-2164,1678,-1951
2480,-1460,-888,538,-1627,1505,-1374
2500,-1608,-1134,512,-544,918,-1852
2520,-1650,-1182,446,407,288,-3756
2540,-1779,-882,575,858,-233,-5757
2560,-1760,-633,516,182,-1291,-7088
2580,-1450,-317,354,-877,-1541,-6795
2600,-1242,-297,153,-1655,-1250,-5016
2620,-1362,-411,132,-1610,-827,-3455
2640,-1297,-277,159,-1376,-882,-3535
2660,-1139,-138,115,-1795,-877,-3472
2680,-920,-36,102,-2163,-470,-2282
2700,-882,-96,128,-2245,-397,-466
2720,-918,-368,-14,-1720,-879,861
2740,-943,-506,-122,-359,-1173,849
2760,-829,-512,-212,1370,-937,281
2780,-828,-490,-107,2616,-517,406
2800,-809,-513,-75,2845,-469,873
2820,-826,-618,-81,2473,-458,1407
2840,-930,-704,-47,1965,-261,1636
2860,-1059,-733,-76,1409,-322,1033
2880,-1008,-614,-132,1038,-196,178
2900,-989,-433,-63,718,537,296
2920,-1179,-383,97,6,933,914
2940,-1281,-293,191,-1049,768,1488
2960,-1344,-317,105,-1527,688,2666
2980,-1585,-383,272,-953,1111,3856
3000,-1521,-355,463,-474,753,4315
3020,-1491,-508,414,3,-21,6225
3040,-1894,-994,317,1421,-600,7461
3060,-2028,-1098,426,3176,-418,6239
3080,-1853,-868,711,3072,-691,4586
3100,-1619,-780,587,1456,-1349,5137
3120,-1885,-1080,408,561,-1406,6716
3140,-1937,-1209,309,897,-1223,6113
3160,-1729,-930,550,826,-293,4183
3180,-1530,-587,780,-1482,-366,3578
3200,-1582,-593,633,-4168,-1471,4335
3220,-1653,-704,301,-4622,-2247,4026
3240,-1457,-612,205,-3097,-2235,2487
3260,-1201,-331,345,-1318,-2070,1864
3280,-1207,-278,354,-395,-2583,2289
3300,-1204,-340,201,434,-2566,2521
3320,-1155,-321,189,1290,-2025,2193
3340,-1097,-186,263,1303,-1756,1522
3360,-998,-6,322,314,-1558,1017
3380,-933,71,300,-1183,-1434,848
3400,-986,43,228,-2053,-1204,946
3420,-986,56,275,-1895,-456,734
3440,-960,-2245,-1612,-321,1235,-226
3460,-1074,751,1539,4790,3459,-3641
3480,-925,1189,1694,561,2707,-2326
3500,-939,415,531,-2295,1489,-1021
3520,-907,267,530,-2729,1197,46
3540,-879,31,426,-2722,846,572
3560,-945,-31,444,-1519,6,1274
3580,-1008,-97,524,-248,-578,902
3600,-1077,-88,438,281,-809,607
3620,-992,25,346,493,-944,794
3640,-1031,-220,282,601,-1112,620
3660,-1096,-239,112,1630,-899,-976
3680,-1083,-142,118,1579,-67,-1596
3700,-958,18,131,1220,252,-1511
3720,-866,-40,61,323,1004,-201
3740,-1084,-349,-1,466,1168,-182
3760,-1186,-425,152,1307,2538,-1499
3780,-1073,-348,330,986,2327,-1767
3800,-998,-442,299,791,1974,-1565
3820,-1225,-626,161,1869,1099,-2262
3840,-1577,-625,126,2519,1069,-3227
3860,-1613,-418,295,2065,1154,-5154
3880,-1395,-83,384,99,609,-4100
3900,-1343,-133,218,-647,547,-3294
3920,-1453,-403,-55,-31,1486,-2556
3940,-1556,-458,140,594,1943,-2762
3960,-1473,-387,344,604,1780,-2875
3980,-1404,-417,405,-318,1030,-2539
4000,-1401,-513,313,-498,674,-2408
4020,-1429,-624,189,86,698,-2718
4040,-1427,-619,216,537,751,-2992
4060,-1430,-580,264,476,180,-3248
4080,-1329,-530,171,438,110,-2935
4100,-1293,-581,110,589,249,-2479
4120,-1254,-680,131,757,360,-2233
4140,-1356,-729,205,647,-44,-2649
4160,-1181,-689,122,539,57,-2785
4180,-1043,-672,157,325,250,-2072
4200,-985,-818,186,287,-4,-1198
4220,-1093,-977,142,758,-382,-1826
4240,-1174,-985,84,1257,-517,-3375
4260,-814,-712,196,920,-324,-2886
4280,-847,-871,175,284,-436,-1643
4300,-884,-1037,78,323,-651,-1551
4320,-869,-1062,61,690,-546,-2189
4340,-809,-949,163,707,-318,-2849
4360,-714,-813,244,103,-456,-2941
4380,-618,-899,60,-440,-727,-2159
4400,-677,-1005,-24,114,-409,-2022
4420,-692,-915,149,564,128,-2449
4440,-646,-723,282,-356,-119,-2571
4460,-570,-690,188,-1499,-318,-2089
4480,-597,-752,79,-1653,-86,-1567
4500,-660,-731,177,-1194,467,-1466
4520,-620,-631,302,-1083,286,-1252
4540,-630,-655,201,-868,-494,-680
4560,-758,-691,48,108,-689,-640
4580,-818,-514,65,949,-922,-936
4600,-820,-404,-10,1009,-1415,-790
4620,-813,-287,-162,834,-1489,-58
4640,-816,-261,-244,788,-1051,1101
4660,-856,-299,-259,904,-28,2488
4680,-935,-366,-133,808,1067,3853
4700,-1092,-542,96,294,1776,5335
4720,-1218,-689,242,-356,1919,6203
4740,-1267,-844,373,-976,1413,6314
4760,-1296,-983,346,-1115,996,6358
4780,-1397,-1201,312,-647,264,6387
4800,-1289,-1091,462,203,118,5396
4820,-1226,-874,688,-276,49,3280
4840,-1360,-867,389,-3166,-2010,3091
4860,-1530,-1029,-39,-3109,-2847,3083
4880,-1512,-840,-119,-813,-2598,2060
4900,-1480,-534,243,1275,-608,898
4920,-1464,-272,562,572,11,1749
4940,-1540,-373,450,-1571,-840,4406
4960,-1754,-740,272,-2343,-1353,6706
4980,-1741,-916,249,-1348,-1624,6649
